Museum,Species,Country,Province,Latitude,Longitude,Sex,Mature,HeadL,HeadWP,SnEye,NarEye,EyeD,IntOrb,IntNar,SVL,TrunkL,ForarmL,HandL,ThreeFingL,ThighL,CrusL,TarsL,FootL,HindlL,FourToeL,HeadL/SVL,HeadWP/HeadL,SnEy/HeadL,NarEy/SnEy,Intnar/SnEy,EyeD/SnEy,TrunkL/SVL,ForeaL/SVL,3FingL/HandL,ForeaL/ThighL,HindL/SVL,ThighL/SVL,CrusL/SVL,CrusL/ThighL,FootL/HindlL,4ToeL/FootL,FootL/SVL,Comments
USNM 587913,Micryletta lineata,Myanmar,Tanintharyi,11.45189,99.2259,Male,1,6.7,6.6,2.4,1.5,2,5.5,1.8,20,8,5.4,4.8,3.9,8.5,9.1,5.8,9.1,33.5,5.3,0.335,0.985,0.358,0.625,0.75,0.833,0.4,0.27,0.813,0.635,1.675,0.425,0.455,1.071,0.272,0.582,0.455,
USNM 587914,Micryletta lineata,Myanmar,Tanintharyi,11.45189,99.2259,Male,1,6.4,6.2,2.4,1.5,2.1,5,1.5,19.3,7.6,5,5.1,3.9,8.2,9.1,5.5,8.6,37.4,5.8,0.332,0.969,0.375,0.625,0.625,0.875,0.394,0.259,0.765,0.61,1.938,0.425,0.472,1.11,0.23,0.674,0.446,
USNM 587915,Micryletta lineata,Myanmar,Tanintharyi,11.45189,99.2259,Male,1,6.7,6.4,2.5,2,2.4,5.4,1.9,20.1,7.2,5,5.2,3.6,8.5,9.1,5.6,9.5,40.7,5.9,0.333,0.955,0.373,0.8,0.76,0.96,0.358,0.249,0.692,0.588,2.025,0.423,0.453,1.071,0.233,0.621,0.473,
USNM 587917,Micryletta lineata,Myanmar,Tanintharyi,11.45189,99.2259,Male,1,7.1,6.9,2.7,1.6,2.8,5.9,2.1,21.1,8.1,5.4,5.6,3.8,9,9.5,6.1,10.4,36.1,6.1,0.336,0.972,0.38,0.593,0.778,1.037,0.384,0.256,0.679,0.6,1.711,0.427,0.45,1.056,0.288,0.587,0.493,
CAS 245945,Micryletta lineata,Myanmar,Tanintharyi,14.731972,98.2485,Male,1,6.5,6.6,2.9,1.4,2.6,5.3,1.8,19.1,7.5,5.6,5.5,4.1,9.4,10,5.8,11.1,36.3,6.8,0.34,1.015,0.446,0.483,0.621,0.897,0.393,0.293,0.745,0.596,1.901,0.492,0.524,1.064,0.306,0.613,0.581,
CAS 247198,Micryletta lineata,Myanmar,Tanintharyi,10.375639,98.604111,Male,1,7.3,7.4,2.9,1.7,2.5,5.5,2,22.5,9.9,5.8,5.5,4.7,11.2,11,6.4,12.1,40.7,7.8,0.324,1.014,0.397,0.586,0.69,0.862,0.44,0.258,0.855,0.518,1.809,0.498,0.489,0.982,0.297,0.645,0.538,
CAS 247199,Micryletta lineata,Myanmar,Tanintharyi,10.375639,98.604111,Male,1,6.8,6.9,2.8,1.6,2.4,5.6,2,20.9,8.4,5.9,6.2,4.6,9.7,10.5,6.4,11.4,38,6.8,0.325,1.015,0.412,0.571,0.714,0.857,0.402,0.282,0.742,0.608,1.818,0.464,0.502,1.082,0.3,0.596,0.545,
CAS 247200,Micryletta lineata,Myanmar,Tanintharyi,10.375639,98.604111,Male,1,7.6,7.4,3.2,1.9,2.8,5.6,2.1,23.1,10.4,5.9,7.2,5.1,9.9,11,6.6,11.9,39.4,7.9,0.329,0.974,0.421,0.594,0.656,0.875,0.45,0.255,0.708,0.596,1.706,0.429,0.476,1.111,0.302,0.664,0.515,
CAS 247942,Micryletta lineata,Myanmar,Tanintharyi,14.727917,98.250056,Male,1,7.1,7.2,3,1.5,2.6,5.8,2,23.6,10.4,5.8,5.9,4.2,9.8,10.6,5.9,11.2,37.5,6.5,0.301,1.014,0.423,0.5,0.667,0.867,0.441,0.246,0.712,0.592,1.589,0.415,0.449,1.082,0.299,0.58,0.475,
CAS 247988,Micryletta lineata,Myanmar,Tanintharyi,14.681389,98.282556,Male,1,6.7,7.4,2.7,1.3,2.7,6,2,21.6,10.6,5.7,6.2,4.3,9.5,10.2,6.2,11.3,37.2,7.2,0.31,1.104,0.403,0.481,0.741,1,0.491,0.264,0.694,0.6,1.722,0.44,0.472,1.074,0.304,0.637,0.523,
